Gear 0 at (1, 75) with neighbors [801, 691]
Gear 1 at (2, 3) with neighbors [982, 436]
Gear 2 at (2, 56) with neighbors [375, 631]
Gear 3 at (2, 98) with neighbors [661]
Gear 4 at (3, 37) with neighbors [203, 917]
Gear 5 at (3, 50) with neighbors [263, 375]
Gear 6 at (3, 68) with neighbors [402]
Gear 7 at (3, 122) with neighbors [333, 664]
Gear 8 at (4, 15) with neighbors [114, 452]
Gear 9 at (4, 87) with neighbors [14, 941]
Gear 10 at (4, 106) with neighbors [544, 427]
Gear 11 at (4, 114) with neighbors [706, 728]
Gear 12 at (5, 3) with neighbors [194, 243]
Gear 13 at (5, 33) with neighbors [743, 470]
Gear 14 at (5, 55) with neighbors [309, 111]
Gear 15 at (6, 12) with neighbors [807, 130]
Gear 16 at (6, 67) with neighbors [659, 199]
Gear 17 at (6, 89) with neighbors [828, 640]
Gear 18 at (6, 126) with neighbors [266]
Gear 19 at (6, 131) with neighbors [566, 380]
Gear 20 at (6, 136) with neighbors [13, 83]
Gear 21 at (7, 18) with neighbors [80, 870]
Gear 22 at (7, 26) with neighbors [385, 329]
Gear 23 at (8, 100) with neighbors [463, 852]
Gear 24 at (8, 113) with neighbors [978, 606]
Gear 25 at (9, 8) with neighbors [323, 538]
Gear 26 at (9, 33) with neighbors [786, 301]
Gear 27 at (9, 53) with neighbors [466]
Gear 28 at (9, 62) with neighbors [453, 33]
Gear 29 at (9, 73) with neighbors [390, 466]
Gear 30 at (9, 85) with neighbors [297, 793]
Gear 31 at (9, 118) with neighbors [863, 218]
Gear 32 at (10, 99) with neighbors [728, 701]
Gear 33 at (10, 134) with neighbors [396, 437]
Gear 34 at (11, 67) with neighbors [537, 806]
Gear 35 at (12, 6) with neighbors [3, 790]
Gear 36 at (12, 17) with neighbors [986, 487]
Gear 37 at (13, 22) with neighbors [626, 68]
Gear 38 at (13, 76) with neighbors [596]
Gear 39 at (13, 100) with neighbors [11, 160]
Gear 40 at (14, 45) with neighbors [13, 568]
Gear 41 at (14, 89) with neighbors [503, 675]
Gear 42 at (14, 121) with neighbors [978, 19]
Gear 43 at (15, 3) with neighbors [437, 161]
Gear 44 at (15, 26) with neighbors [712, 854]
Gear 45 at (15, 72) with neighbors [863, 891]
Gear 46 at (16, 40) with neighbors [304]
Gear 47 at (16, 48) with neighbors [974, 120]
Gear 48 at (16, 55) with neighbors [255, 318]
Gear 49 at (16, 128) with neighbors [849, 74]
Gear 50 at (17, 18) with neighbors [710, 487]
Gear 51 at (17, 63) with neighbors [441, 146]
Gear 52 at (17, 113) with neighbors [235, 398]
Gear 53 at (17, 123) with neighbors [880, 769]
Gear 54 at (18, 41) with neighbors [800, 662]
Gear 55 at (18, 136) with neighbors [238, 562]
Gear 56 at (19, 55) with neighbors [251, 468]
Gear 57 at (20, 49) with neighbors [304, 773]
Gear 58 at (20, 69) with neighbors [895, 844]
Gear 59 at (20, 80) with neighbors [591, 508]
Gear 60 at (20, 102) with neighbors [810, 401]
Gear 61 at (21, 44) with neighbors [720, 200]
Gear 62 at (21, 87) with neighbors [960, 46]
Gear 63 at (21, 114) with neighbors [534, 517]
Gear 64 at (21, 122) with neighbors [645, 647]
Gear 65 at (21, 130) with neighbors [313]
Gear 66 at (23, 17) with neighbors [158, 672]
Gear 67 at (23, 53) with neighbors [409, 415]
Gear 68 at (23, 61) with neighbors [982, 283]
Gear 69 at (23, 117) with neighbors [303, 719]
Gear 70 at (23, 126) with neighbors [660, 679]
Gear 71 at (24, 6) with neighbors [530, 664]
Gear 72 at (24, 41) with neighbors [611, 203]
Gear 73 at (24, 99) with neighbors [131, 14]
Gear 74 at (26, 20) with neighbors [664, 121]
Gear 75 at (26, 29) with neighbors [668, 836]
Gear 76 at (26, 117) with neighbors [427, 6]
Gear 77 at (27, 38) with neighbors [434, 848]
Gear 78 at (27, 63) with neighbors [789, 65]
Gear 79 at (27, 99) with neighbors [544, 5]
Gear 80 at (28, 105) with neighbors [622, 557]
Gear 81 at (28, 127) with neighbors [882, 503]
Gear 82 at (29, 49) with neighbors [625, 240]
Gear 83 at (29, 73) with neighbors [382, 636]
Gear 84 at (30, 17) with neighbors [627, 961]
Gear 85 at (30, 33) with neighbors [641, 324]
